Date,Time,Product Name,Unit Price,Quantity Sold,Revenue,Store Name,Sales Campaign
2023-05-18,11:01:35,Refrigerator,153.46,4,613.84,Norris-Nelson Store,
2023-07-05,11:22:26,Dress,126.71,1,126.71,"Wilson, Phillips and Summers Store",
2024-07-08,23:35:48,Washing Machine,889.42,4,3557.68,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-04-26,08:22:12,Shoes,531.44,1,531.44,"Osborne, Nelson and Gates Store",10% off Black Friday
2024-08-17,20:18:12,Jacket,820.0,1,820.0,"Mathews, Weeks and Thomas Store",
2023-07-30,12:59:23,Shoes,1043.72,1,1043.72,"Hamilton, Barnes and Hale Store",
2023-05-05,06:53:08,Microwave,182.73,4,730.91,"Wilson, Phillips and Summers Store",Summer Sale
2023-07-15,17:37:17,Action Figure,962.42,5,4812.11,"Mathews, Weeks and Thomas Store",10% off Black Friday
2024-09-12,22:38:17,Refrigerator,351.31,2,702.63,"Mathews, Miller and Webb Store",10% off Black Friday
2024-09-12,10:58:56,Jacket,448.7,2,897.4,Lewis LLC Store,10% off Black Friday
2024-01-21,00:07:06,Fiction,456.76,2,913.53,"Wilson, Richardson and Franklin Store",Summer Sale
2024-07-10,05:17:12,Dress,495.93,2,991.85,Lewis LLC Store,10% off Black Friday
2024-08-21,20:38:12,Refrigerator,635.21,3,1905.64,"Osborne, Nelson and Gates Store",Summer Sale
2024-08-28,13:45:42,Fiction,180.49,2,360.98,Norris-Nelson Store,Summer Sale
2025-01-25,13:11:02,Refrigerator,154.83,5,774.14,"Ramirez, Marshall and West Store",
2023-08-03,01:18:58,Action Figure,646.59,2,1293.17,"Jones, Terrell and Reynolds Store",
2023-08-27,11:12:05,Shoes,483.34,3,1450.03,"Osborne, Nelson and Gates Store",Summer Sale
2024-09-27,16:38:22,T-shirt,972.01,2,1944.01,"Ramirez, Marshall and West Store",Summer Sale
2023-09-06,11:07:00,Fiction,504.1,4,2016.4,Lewis LLC Store,Summer Sale
2024-01-13,04:56:08,Smartphone,1006.25,3,3018.74,"Osborne, Nelson and Gates Store",
2024-06-25,20:05:30,Smartphone,663.28,4,2653.1,"Ramirez, Marshall and West Store",
2024-08-02,05:45:57,T-shirt,1113.19,2,2226.39,"Mathews, Weeks and Thomas Store",10% off Black Friday
2025-01-18,19:52:41,Microwave,301.71,3,905.13,"Mathews, Weeks and Thomas Store",Summer Sale
2024-12-16,13:28:21,Children's Books,1058.5,13,13760.44,"Wilson, Phillips and Summers Store",10% off Black Friday
2024-08-06,07:16:57,Jacket,1004.61,4,4018.42,"Jones, Terrell and Reynolds Store",Summer Sale
2023-05-08,20:59:48,Doll,825.91,2,1651.82,"Mathews, Weeks and Thomas Store",10% off Black Friday
2024-09-18,00:01:41,Smartphone,1136.37,5,5681.85,Norris-Nelson Store,
2023-04-02,09:26:58,Vacuum Cleaner,656.02,4,2624.07,"Jones, Terrell and Reynolds Store",Summer Sale
2025-01-06,14:56:36,Puzzle,811.52,1,811.52,Lewis LLC Store,
2023-11-22,13:46:07,Textbooks,415.61,7,2909.3,"Ramirez, Marshall and West Store",Summer Sale
2024-10-19,01:24:07,Jacket,777.57,1,777.57,"Osborne, Nelson and Gates Store",Summer Sale
2024-10-21,09:35:20,Washing Machine,746.13,5,3730.65,"Mathews, Miller and Webb Store",Summer Sale
2023-08-09,18:04:50,Headphones,652.62,5,3263.1,Lewis LLC Store,10% off Black Friday
2024-06-13,04:01:09,Headphones,667.45,2,1334.91,Lewis LLC Store,Summer Sale
2024-09-25,19:36:23,Jeans,309.62,1,309.62,"Ramirez, Marshall and West Store",
2025-01-04,00:44:22,Board Game,1096.35,2,2192.7,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-12-31,18:32:06,Tablet,533.76,9,4803.83,"Mathews, Weeks and Thomas Store",Summer Sale
2023-04-13,18:43:55,Dress,131.76,2,263.52,"Ramirez, Marshall and West Store",10% off Black Friday
2024-11-06,07:56:26,Dress,520.65,3,1561.96,Lewis LLC Store,10% off Black Friday
2023-09-29,06:05:22,Tablet,379.85,2,759.69,"Wilson, Phillips and Summers Store",Summer Sale
2024-01-23,17:10:20,Fiction,480.12,1,480.12,Lewis LLC Store,Summer Sale
2025-02-01,19:05:23,Laptop,708.3,4,2833.21,"Hamilton, Barnes and Hale Store",10% off Black Friday
2023-08-05,07:21:44,T-shirt,716.53,2,1433.05,"Ramirez, Marshall and West Store",Summer Sale
2023-09-12,03:52:31,T-shirt,1111.12,4,4444.49,"Mathews, Miller and Webb Store",
2024-12-31,06:08:15,Smartphone,1115.09,9,10035.85,"Mathews, Weeks and Thomas Store",10% off Black Friday
2025-02-01,13:04:46,Smartphone,682.88,2,1365.76,"Wilson, Richardson and Franklin Store",10% off Black Friday
2024-09-21,15:14:52,Dress,244.29,1,244.29,"Jones, Terrell and Reynolds Store",Summer Sale
2024-08-29,15:46:38,Puzzle,308.18,4,1232.73,Lewis LLC Store,
2024-05-16,06:36:41,Doll,835.52,2,1671.03,"Wilson, Phillips and Summers Store",Summer Sale
2023-09-26,03:34:44,Jacket,765.79,2,1531.59,"Osborne, Nelson and Gates Store",10% off Black Friday
2024-01-14,17:22:47,Jeans,813.42,4,3253.68,"Mathews, Miller and Webb Store",
2023-05-25,08:54:04,Action Figure,1091.67,3,3275.0,Norris-Nelson Store,Summer Sale
2023-12-28,16:28:30,Board Game,653.32,17,11106.51,"Jones, Terrell and Reynolds Store",10% off Black Friday
2023-07-31,15:51:36,Dress,237.7,5,1188.5,"Wilson, Richardson and Franklin Store",
2023-04-30,14:16:12,Smartphone,458.08,1,458.08,Norris-Nelson Store,Summer Sale
2023-11-28,19:01:00,Tablet,346.26,5,1731.29,"Mathews, Miller and Webb Store",
2023-04-19,12:07:17,Vacuum Cleaner,649.49,3,1948.47,"Jones, Terrell and Reynolds Store",10% off Black Friday
2023-03-06,22:40:26,Jeans,607.14,2,1214.29,"Mathews, Weeks and Thomas Store",Summer Sale
2023-02-26,06:53:55,Refrigerator,410.19,1,410.19,"Mathews, Weeks and Thomas Store",
2024-09-06,11:48:11,Shoes,1171.9,5,5859.51,Lewis LLC Store,Summer Sale
2024-08-02,21:52:13,Doll,832.57,2,1665.13,"Mathews, Miller and Webb Store",
2024-05-09,13:31:59,Headphones,675.36,2,1350.72,"Wilson, Phillips and Summers Store",Summer Sale
2024-05-21,03:05:30,Children's Books,1188.63,2,2377.26,Lewis LLC Store,Summer Sale
2024-07-15,08:30:55,Vacuum Cleaner,487.7,3,1463.1,"Wilson, Phillips and Summers Store",
2023-11-30,18:53:44,Refrigerator,566.94,18,10204.85,"Ramirez, Marshall and West Store",
2024-12-07,18:38:08,Microwave,399.46,18,7190.32,"Jones, Terrell and Reynolds Store",Summer Sale
2024-11-28,02:14:02,Dress,188.33,8,1506.66,"Osborne, Nelson and Gates Store",
2023-09-04,02:48:30,Vacuum Cleaner,780.8,1,780.8,"Mathews, Miller and Webb Store",10% off Black Friday
2024-09-21,18:30:57,Laptop,439.78,5,2198.89,"Ramirez, Marshall and West Store",Summer Sale
2025-02-01,18:46:42,Jeans,462.57,2,925.13,"Jones, Terrell and Reynolds Store",Summer Sale
2023-07-07,00:59:38,Laptop,515.7,2,1031.4,Norris-Nelson Store,Summer Sale
2024-02-05,14:08:55,Shoes,940.52,3,2821.56,"Ramirez, Marshall and West Store",
2024-12-25,22:02:32,Vacuum Cleaner,552.89,1,552.89,"Jones, Terrell and Reynolds Store",10% off Black Friday
2024-05-19,14:03:39,Vacuum Cleaner,774.43,5,3872.13,"Mathews, Weeks and Thomas Store",10% off Black Friday
2023-07-11,17:52:55,Dress,398.77,2,797.54,Lewis LLC Store,
2023-10-10,09:57:05,Children's Books,220.17,1,220.17,"Osborne, Nelson and Gates Store",10% off Black Friday
2024-01-12,01:07:11,Smartphone,743.02,5,3715.09,"Jones, Terrell and Reynolds Store",
2023-12-06,01:10:19,Fiction,285.5,14,3997.0,"Hamilton, Barnes and Hale Store",Summer Sale
2025-01-18,12:45:22,Washing Machine,625.92,3,1877.76,"Osborne, Nelson and Gates Store",
2023-03-31,04:58:54,Shoes,797.66,4,3190.63,"Hamilton, Barnes and Hale Store",
2024-04-24,15:14:35,Vacuum Cleaner,542.16,3,1626.47,Lewis LLC Store,
2024-06-06,22:01:34,Action Figure,970.43,3,2911.29,"Mathews, Miller and Webb Store",10% off Black Friday
2024-09-12,05:22:37,Jacket,488.05,1,488.05,"Ramirez, Marshall and West Store",
2023-03-01,08:47:19,Children's Books,1010.13,2,2020.27,"Wilson, Richardson and Franklin Store",
2024-04-15,00:06:42,Headphones,279.85,2,559.7,"Mathews, Miller and Webb Store",Summer Sale
2023-07-13,18:11:58,Jeans,1319.19,2,2638.39,"Wilson, Richardson and Franklin Store",10% off Black Friday
2024-02-13,03:25:26,Tablet,290.45,3,871.34,Norris-Nelson Store,10% off Black Friday
2024-03-01,20:17:18,Tablet,841.91,3,2525.73,"Wilson, Phillips and Summers Store",Summer Sale
2024-07-16,01:09:06,Textbooks,340.64,3,1021.93,Lewis LLC Store,Summer Sale
2023-12-21,21:33:30,Shoes,722.25,20,14445.06,Lewis LLC Store,10% off Black Friday
2024-01-26,02:26:44,Microwave,397.28,4,1589.12,"Wilson, Phillips and Summers Store",
2024-04-28,01:57:40,Action Figure,265.55,1,265.55,"Mathews, Miller and Webb Store",10% off Black Friday
2024-12-15,10:25:44,Headphones,260.63,1,260.63,"Mathews, Miller and Webb Store",10% off Black Friday
2023-06-26,06:20:06,Shoes,1127.93,5,5639.65,"Ramirez, Marshall and West Store",10% off Black Friday
2023-04-03,19:12:44,Non-Fiction,608.03,3,1824.08,"Wilson, Richardson and Franklin Store",10% off Black Friday
2023-09-14,13:58:01,Washing Machine,873.03,5,4365.16,"Mathews, Miller and Webb Store",
2023-07-31,20:32:36,Shoes,948.0,4,3791.99,"Ramirez, Marshall and West Store",Summer Sale
2024-10-26,07:51:08,Microwave,184.41,3,553.24,"Wilson, Phillips and Summers Store",
2023-04-29,06:14:49,Action Figure,749.9,4,2999.62,"Wilson, Phillips and Summers Store",10% off Black Friday
2024-07-28,05:50:30,Fiction,409.53,1,409.53,"Jones, Terrell and Reynolds Store",
2023-02-19,11:24:23,Puzzle,517.13,1,517.13,"Osborne, Nelson and Gates Store",Summer Sale
2024-05-22,22:05:39,Washing Machine,963.48,1,963.48,Norris-Nelson Store,Summer Sale
2024-01-17,16:59:50,Jacket,964.64,5,4823.18,"Mathews, Weeks and Thomas Store",
2025-01-02,21:09:53,Non-Fiction,732.71,4,2930.85,"Hamilton, Barnes and Hale Store",Summer Sale
2024-09-08,04:18:31,Smartwatch,306.67,3,920.0,"Mathews, Miller and Webb Store",10% off Black Friday
2025-01-08,07:07:53,Children's Books,1273.9,4,5095.59,Lewis LLC Store,
2024-06-25,16:14:30,Non-Fiction,674.14,4,2696.55,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-07-20,08:38:50,Jeans,767.22,5,3836.11,Lewis LLC Store,10% off Black Friday
2024-05-25,06:06:45,Jacket,513.44,1,513.44,"Ramirez, Marshall and West Store",Summer Sale
2023-05-13,11:15:51,Action Figure,275.24,3,825.71,"Mathews, Miller and Webb Store",10% off Black Friday
2023-05-10,11:11:32,Microwave,166.57,5,832.87,"Mathews, Miller and Webb Store",10% off Black Friday
2023-03-03,15:03:53,Fiction,389.78,1,389.78,Norris-Nelson Store,10% off Black Friday
2024-08-22,16:39:27,Doll,728.74,3,2186.23,"Wilson, Richardson and Franklin Store",
2023-10-17,15:37:35,Refrigerator,561.79,3,1685.38,"Ramirez, Marshall and West Store",
2023-07-30,18:56:50,Refrigerator,483.41,5,2417.07,"Wilson, Richardson and Franklin Store",Summer Sale
2024-02-03,11:40:05,Shoes,867.82,2,1735.63,"Mathews, Weeks and Thomas Store",Summer Sale
2023-08-18,12:52:36,Jeans,1301.5,2,2603.0,"Ramirez, Marshall and West Store",10% off Black Friday
2024-03-19,15:28:27,Jeans,1031.93,3,3095.79,"Osborne, Nelson and Gates Store",10% off Black Friday
2024-05-03,09:26:00,Board Game,468.66,5,2343.32,"Hamilton, Barnes and Hale Store",Summer Sale
2023-03-21,12:29:34,Headphones,359.83,2,719.66,"Wilson, Phillips and Summers Store",Summer Sale
2023-08-21,09:43:50,Dress,434.37,5,2171.85,Lewis LLC Store,Summer Sale
2024-04-21,18:08:48,Dress,372.36,5,1861.81,"Hamilton, Barnes and Hale Store",
2023-12-15,02:38:55,Dress,390.54,15,5858.11,"Jones, Terrell and Reynolds Store",Summer Sale
2023-04-02,21:37:13,Laptop,527.85,2,1055.71,"Hamilton, Barnes and Hale Store",Summer Sale
2023-03-24,03:54:18,Tablet,422.72,5,2113.62,Norris-Nelson Store,
2023-08-26,02:41:20,Board Game,407.35,4,1629.41,"Jones, Terrell and Reynolds Store",
2024-10-02,04:41:29,Jeans,1017.3,4,4069.2,"Jones, Terrell and Reynolds Store",10% off Black Friday
2024-06-03,05:53:13,Vacuum Cleaner,617.36,4,2469.45,"Wilson, Phillips and Summers Store",
2023-08-20,00:10:33,Jeans,1021.94,4,4087.76,"Wilson, Richardson and Franklin Store",10% off Black Friday
2023-11-20,00:46:47,Washing Machine,944.87,2,1889.74,Norris-Nelson Store,10% off Black Friday
2024-05-15,10:15:47,Action Figure,571.59,4,2286.37,"Wilson, Richardson and Franklin Store",
2023-05-22,16:39:19,Smartwatch,470.01,2,940.03,Lewis LLC Store,10% off Black Friday
2023-09-17,14:10:44,Refrigerator,336.91,5,1684.56,"Osborne, Nelson and Gates Store",
2024-09-28,00:19:32,Dress,214.31,1,214.31,"Jones, Terrell and Reynolds Store",10% off Black Friday
2025-01-29,20:56:56,Refrigerator,71.28,1,71.28,"Ramirez, Marshall and West Store",10% off Black Friday
2023-12-21,18:02:37,Children's Books,1045.93,17,17780.79,Lewis LLC Store,
2024-10-10,07:09:01,Jeans,304.86,5,1524.29,"Mathews, Miller and Webb Store",10% off Black Friday
2024-05-15,03:53:15,Smartphone,1202.7,2,2405.4,Lewis LLC Store,Summer Sale
2024-02-05,21:06:32,Action Figure,478.5,1,478.5,"Mathews, Miller and Webb Store",Summer Sale
2024-01-18,01:34:05,Smartwatch,509.06,4,2036.25,"Jones, Terrell and Reynolds Store",Summer Sale
2023-03-16,15:58:38,Board Game,1185.14,2,2370.28,"Osborne, Nelson and Gates Store",Summer Sale
2023-03-29,05:20:59,Action Figure,972.84,5,4864.18,"Jones, Terrell and Reynolds Store",Summer Sale
2023-11-12,23:38:05,Jacket,630.5,4,2521.99,"Mathews, Weeks and Thomas Store",
2024-06-06,21:39:17,Headphones,420.81,5,2104.04,"Mathews, Miller and Webb Store",Summer Sale
2023-12-01,07:28:28,Dress,471.32,16,7541.05,Lewis LLC Store,Summer Sale
2024-09-01,20:34:50,Fiction,391.31,3,1173.92,Norris-Nelson Store,
2024-09-11,08:39:16,Laptop,844.46,1,844.46,Norris-Nelson Store,10% off Black Friday
2024-05-30,07:57:29,Children's Books,524.67,4,2098.7,"Wilson, Richardson and Franklin Store",Summer Sale
2024-04-28,08:39:38,Refrigerator,272.27,3,816.82,"Ramirez, Marshall and West Store",
2023-04-04,18:56:42,Washing Machine,953.77,3,2861.31,Lewis LLC Store,10% off Black Friday
2024-08-28,21:25:46,Fiction,619.26,4,2477.05,"Osborne, Nelson and Gates Store",
2024-06-29,22:58:45,Board Game,1033.09,3,3099.28,"Mathews, Weeks and Thomas Store",
2024-05-30,06:09:16,Action Figure,1148.32,3,3444.97,"Osborne, Nelson and Gates Store",
2023-09-16,03:08:43,Jeans,1255.77,3,3767.3,"Ramirez, Marshall and West Store",
2023-08-30,20:41:10,Dress,158.72,2,317.44,"Mathews, Weeks and Thomas Store",
2024-08-03,22:05:03,Microwave,313.1,3,939.31,"Wilson, Richardson and Franklin Store",10% off Black Friday
2024-10-27,02:09:55,Refrigerator,311.11,3,933.34,"Hamilton, Barnes and Hale Store",Summer Sale
2024-11-04,19:33:05,Doll,811.54,9,7303.89,"Wilson, Richardson and Franklin Store",
2023-04-21,01:40:34,Textbooks,554.52,4,2218.07,Norris-Nelson Store,
2024-10-27,11:14:54,Board Game,770.49,3,2311.48,"Mathews, Miller and Webb Store",Summer Sale
2024-08-19,12:29:28,Refrigerator,445.18,5,2225.92,Norris-Nelson Store,10% off Black Friday
2023-02-12,15:29:02,T-shirt,1180.3,4,4721.19,Norris-Nelson Store,10% off Black Friday
2023-08-12,09:33:17,Washing Machine,1013.91,4,4055.63,Norris-Nelson Store,Summer Sale
2024-02-15,01:01:18,Action Figure,1163.46,3,3490.37,"Mathews, Miller and Webb Store",10% off Black Friday
2024-05-19,03:18:13,Puzzle,1308.37,5,6541.84,"Wilson, Richardson and Franklin Store",Summer Sale
2023-02-18,19:19:07,Doll,764.2,1,764.2,"Jones, Terrell and Reynolds Store",Summer Sale
2023-08-13,05:01:19,Microwave,327.07,2,654.14,Lewis LLC Store,10% off Black Friday
2023-09-15,02:13:17,Headphones,472.87,2,945.75,"Jones, Terrell and Reynolds Store",
2023-02-12,14:35:42,Tablet,767.37,5,3836.85,"Mathews, Miller and Webb Store",10% off Black Friday
2023-11-28,15:38:02,Microwave,436.09,20,8721.8,"Osborne, Nelson and Gates Store",
2024-02-10,05:35:57,Puzzle,1139.56,5,5697.82,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-02-09,13:19:16,Textbooks,491.95,1,491.95,"Hamilton, Barnes and Hale Store",Summer Sale
2023-05-13,10:33:38,Laptop,995.73,1,995.73,"Mathews, Miller and Webb Store",
2023-10-07,06:17:12,Puzzle,805.82,3,2417.47,"Hamilton, Barnes and Hale Store",10% off Black Friday
2024-09-15,06:22:18,Jeans,492.95,3,1478.85,"Wilson, Richardson and Franklin Store",10% off Black Friday
2023-08-20,07:43:59,Fiction,272.2,5,1360.99,Lewis LLC Store,
2023-06-10,14:12:15,Board Game,535.77,5,2678.85,Norris-Nelson Store,Summer Sale
2024-10-25,13:47:01,Fiction,138.92,2,277.83,"Wilson, Richardson and Franklin Store",
2023-04-20,05:12:08,Jacket,442.37,2,884.74,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-06-05,09:00:21,Smartwatch,402.22,4,1608.89,"Hamilton, Barnes and Hale Store",10% off Black Friday
2023-11-03,23:41:03,Children's Books,1140.09,1,1140.09,"Wilson, Richardson and Franklin Store",Summer Sale
2024-02-07,02:11:23,Smartwatch,633.92,5,3169.58,Norris-Nelson Store,
2023-08-21,20:53:40,Tablet,679.38,3,2038.13,Lewis LLC Store,
2023-11-29,02:28:46,Smartphone,622.34,14,8712.75,"Mathews, Weeks and Thomas Store",
2024-02-02,11:42:52,T-shirt,979.37,4,3917.48,"Wilson, Phillips and Summers Store",Summer Sale
2023-03-24,15:48:26,Microwave,331.53,5,1657.64,"Ramirez, Marshall and West Store",Summer Sale
2024-11-02,13:29:57,Laptop,1139.62,18,20513.18,"Wilson, Richardson and Franklin Store",
2024-08-24,05:20:39,Puzzle,273.61,5,1368.04,"Mathews, Weeks and Thomas Store",10% off Black Friday
2024-08-25,06:57:42,Microwave,402.9,1,402.9,"Wilson, Phillips and Summers Store",10% off Black Friday
2023-09-05,16:51:46,Doll,762.64,4,3050.56,"Mathews, Miller and Webb Store",
2024-04-07,17:18:11,Puzzle,1140.53,5,5702.65,"Osborne, Nelson and Gates Store",
2024-04-25,20:59:27,Board Game,702.89,2,1405.78,"Jones, Terrell and Reynolds Store",10% off Black Friday
2023-05-06,13:59:43,Washing Machine,1009.6,3,3028.8,"Mathews, Weeks and Thomas Store",Summer Sale
2023-11-13,06:57:45,Textbooks,319.65,19,6073.38,"Hamilton, Barnes and Hale Store",10% off Black Friday
2023-09-04,09:40:53,Textbooks,566.46,2,1132.93,Norris-Nelson Store,Summer Sale
2023-05-05,22:30:55,Action Figure,373.02,3,1119.06,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-09-16,06:03:43,Dress,155.9,3,467.7,Norris-Nelson Store,10% off Black Friday
2023-11-03,06:46:02,Smartwatch,640.64,12,7687.71,Lewis LLC Store,10% off Black Friday
2023-11-06,03:31:43,Tablet,313.31,11,3446.36,"Hamilton, Barnes and Hale Store",
2024-07-24,16:48:25,Shoes,892.29,5,4461.44,"Jones, Terrell and Reynolds Store",
2023-05-29,09:02:15,Jeans,127.99,4,511.97,"Mathews, Weeks and Thomas Store",10% off Black Friday
2024-03-22,10:32:24,Vacuum Cleaner,501.78,2,1003.56,"Mathews, Weeks and Thomas Store",Summer Sale
2023-12-12,03:21:52,Vacuum Cleaner,777.77,15,11666.5,"Hamilton, Barnes and Hale Store",10% off Black Friday
2024-01-29,08:05:54,Children's Books,1314.11,2,2628.22,"Jones, Terrell and Reynolds Store",10% off Black Friday
2024-07-15,03:16:03,Fiction,614.54,3,1843.62,Lewis LLC Store,10% off Black Friday
2024-12-21,01:52:20,Headphones,463.4,3,1390.2,"Osborne, Nelson and Gates Store",Summer Sale
2023-11-28,12:44:04,Headphones,286.76,11,3154.39,Lewis LLC Store,Summer Sale
2024-06-24,11:00:22,Smartwatch,578.31,3,1734.94,"Mathews, Miller and Webb Store",10% off Black Friday
2023-03-26,21:16:27,Tablet,845.12,1,845.12,"Wilson, Phillips and Summers Store",
2023-08-07,04:02:04,Smartwatch,426.04,4,1704.16,"Osborne, Nelson and Gates Store",Summer Sale
2024-09-13,03:41:21,Jeans,634.33,5,3171.64,"Ramirez, Marshall and West Store",10% off Black Friday
2024-10-03,12:37:20,Board Game,779.33,4,3117.3,"Osborne, Nelson and Gates Store",
2024-05-25,03:13:08,Laptop,1098.2,1,1098.2,"Hamilton, Barnes and Hale Store",Summer Sale
2023-11-23,08:35:42,Refrigerator,311.91,15,4678.65,"Jones, Terrell and Reynolds Store",10% off Black Friday
2024-11-05,18:49:57,Board Game,1310.44,3,3931.31,Norris-Nelson Store,
2024-07-16,09:52:03,Microwave,470.71,3,1412.13,"Osborne, Nelson and Gates Store",
2024-07-29,08:43:59,Vacuum Cleaner,603.88,1,603.88,Norris-Nelson Store,10% off Black Friday
2023-04-25,01:52:27,Dress,384.69,3,1154.07,Lewis LLC Store,
2025-01-29,06:13:50,Headphones,563.55,1,563.55,"Ramirez, Marshall and West Store",Summer Sale
2024-10-05,21:38:18,Headphones,665.8,1,665.8,Lewis LLC Store,Summer Sale
2023-12-21,03:50:12,Dress,448.13,4,1792.51,"Hamilton, Barnes and Hale Store",Summer Sale
2023-08-22,03:42:02,Non-Fiction,587.32,1,587.32,"Jones, Terrell and Reynolds Store",10% off Black Friday
2024-06-01,08:12:10,Action Figure,792.15,1,792.15,"Ramirez, Marshall and West Store",Summer Sale
2023-12-29,00:00:00,T-shirt,983.09,5,4915.44,"Jones, Terrell and Reynolds Store",Summer Sale
2024-08-22,20:01:35,Non-Fiction,930.69,5,4653.43,"Jones, Terrell and Reynolds Store",10% off Black Friday
2024-02-20,19:18:06,T-shirt,677.58,4,2710.34,"Osborne, Nelson and Gates Store",10% off Black Friday
2024-09-25,23:42:06,Shoes,847.39,1,847.39,"Jones, Terrell and Reynolds Store",Summer Sale
2024-06-20,10:46:05,Vacuum Cleaner,794.49,5,3972.44,Lewis LLC Store,
