date,time,product_name,unit_price,quantity,revenue,store_name,sales_campaign
2023-01-19,19:49,Cookbook,21.94,8,175.52,Beijing Store,
2023-02-23,15:05,Winter Jacket,90.25,6,541.5,Sao Paulo Store,
2023-04-14,18:38,Skincare Set,53.61,10,536.1,Los Angeles Store,
2023-08-07,15:00,Blender,75.57,3,226.71,New York Store,
2023-08-17,08:28,Bestseller Novel,18.26,3,54.78,Cape Town Store,
2023-08-20,16:54,Skincare Set,47.39,5,236.95,Osaka Store,Back to School
2023-07-13,08:24,LEGO Set,54.01,10,540.1,Phoenix Store,
2023-03-07,16:33,Skincare Set,30.48,4,121.92,Houston Store,
2023-11-05,18:09,Winter Jacket,104.65,6,627.9,Los Angeles Store,
2023-05-28,17:04,Smartphone,658.09,8,5264.72,London Store,
2023-07-22,17:26,Blender,48.72,5,243.6,Hamburg Store,
2023-01-22,15:07,Cookware Set,231.21,6,1387.26,Chicago Store,
2023-01-28,18:14,Running Shoes,71.32,2,142.64,Beijing Store,
2023-05-14,20:34,Cookbook,32.05,4,128.2,Shanghai Store,
2023-10-31,14:23,Laptop,1614.87,8,12918.96,Osaka Store,
2023-06-27,17:14,Snack Box,7.2,3,21.6,Houston Store,
2023-07-30,17:20,T-Shirt,19.96,2,39.92,London Store,
2023-07-20,11:33,T-Shirt,21.6,1,21.6,Sydney Store,
2023-10-10,15:40,T-Shirt,26.94,9,242.46,Beijing Store,
2023-09-07,08:59,Blender,77.1,8,616.8,New York Store,
2023-01-30,18:08,Cookware Set,182.85,10,1828.5,Shanghai Store,
2023-08-25,13:52,Running Shoes,80.16,7,561.12,Manchester Store,
2023-03-22,15:14,Blender,103.16,9,928.44,Osaka Store,
2023-04-26,12:20,Bestseller Novel,21.03,9,189.27,Los Angeles Store,
2023-06-08,09:11,Smartphone,836.98,3,2510.94,Shanghai Store,Summer Sale
2023-10-20,15:00,Organic Coffee,13.35,6,80.1,Houston Store,
2023-09-25,19:55,Cookbook,30.26,2,60.52,Los Angeles Store,
2023-07-17,20:30,Winter Jacket,88.87,2,177.74,New York Store,
2023-04-18,20:36,Jeans,64.6,6,387.6,Phoenix Store,
2023-09-15,12:42,Jeans,61.88,6,371.28,Beijing Store,
2023-03-19,18:29,Bestseller Novel,15.04,1,15.04,Houston Store,
2023-02-17,14:00,T-Shirt,25.48,4,101.92,Edinburgh Store,
2023-03-29,15:18,Organic Coffee,10.07,10,100.7,Guangzhou Store,
2023-02-07,19:59,T-Shirt,11.02,5,55.1,Beijing Store,
2023-11-10,16:22,Headphones,248.64,9,2237.76,Chicago Store,
2023-03-15,11:05,Winter Jacket,92.06,6,552.36,Sao Paulo Store,
2023-11-19,09:45,Skincare Set,33.12,10,331.2,Shanghai Store,
2023-12-08,13:54,Jeans,67.91,9,611.19,New York Store,
2023-07-03,09:45,Snack Box,8.81,1,8.81,Phoenix Store,
2023-07-10,19:43,Organic Coffee,10.19,4,40.76,Chicago Store,
2023-09-15,10:13,Snack Box,8.1,1,8.1,Houston Store,
2023-12-07,09:59,T-Shirt,25.51,9,229.59,Shanghai Store,
2023-09-24,14:01,LEGO Set,78.95,7,552.65,Hamburg Store,
2023-06-21,14:18,LEGO Set,87.48,1,87.48,Mumbai Store,
2023-06-01,17:40,Perfume,68.29,1,68.29,Houston Store,
2023-04-08,16:02,Cookware Set,299.31,6,1795.86,New York Store,
2023-06-09,17:16,Jeans,57.92,3,173.76,Berlin Store,
2023-10-20,08:58,Yoga Mat,16.88,5,84.4,Osaka Store,
2023-11-15,14:50,Perfume,142.13,10,1421.3,Melbourne Store,
2023-07-30,09:54,Jeans,42.74,1,42.74,Mumbai Store,
2023-09-09,14:53,Organic Coffee,11.35,8,90.8,Phoenix Store,
2023-01-27,08:42,Board Game,38.52,2,77.04,Osaka Store,
2023-01-18,08:13,Snack Box,6.2,2,12.4,Beijing Store,
2023-06-21,18:57,Yoga Mat,17.71,9,159.39,Los Angeles Store,
2023-07-05,10:00,Headphones,97.28,8,778.24,Phoenix Store,
2023-06-25,12:36,Headphones,258.66,3,775.98,Beijing Store,
2023-05-14,10:15,Smartphone,534.79,3,1604.37,Phoenix Store,
2023-06-02,13:27,Organic Coffee,11.91,3,35.73,Los Angeles Store,
2023-03-18,15:19,Blender,119.36,5,596.8,Guangzhou Store,
2023-10-12,14:02,Yoga Mat,18.56,3,55.68,Manchester Store,
2023-05-23,15:19,Yoga Mat,34.51,1,34.51,Phoenix Store,
2023-05-09,14:20,Bestseller Novel,21.92,7,153.44,Delhi Store,
2023-10-12,09:36,Blender,94.08,6,564.48,Delhi Store,
2023-08-17,09:52,T-Shirt,28.11,4,112.44,Shanghai Store,Back to School
2023-03-04,19:55,T-Shirt,28.35,7,198.45,Guangzhou Store,
2023-07-28,12:32,Skincare Set,79.36,2,158.72,Guangzhou Store,
2023-05-22,15:47,Headphones,282.54,9,2542.86,Osaka Store,
2023-06-27,19:17,LEGO Set,76.09,7,532.63,Los Angeles Store,
2023-02-27,16:02,Snack Box,7.79,3,23.37,Phoenix Store,
2023-12-04,12:07,Headphones,90.12,8,720.96,Osaka Store,
2023-02-06,11:56,Cookbook,20.99,6,125.94,Shanghai Store,
2023-01-30,14:47,Cookware Set,279.62,3,838.86,Shanghai Store,
2023-04-13,12:32,Blender,56.33,7,394.31,Melbourne Store,
2023-08-12,15:10,Organic Coffee,10.96,1,10.96,Guangzhou Store,
2023-06-09,20:05,Organic Coffee,11.19,8,89.52,Shanghai Store,
2023-09-12,12:54,Jeans,65.77,3,197.31,Houston Store,
2023-04-26,08:03,T-Shirt,18.42,7,128.94,Mumbai Store,
2023-03-25,14:26,Snack Box,9.98,7,69.86,Beijing Store,
2023-03-22,16:24,T-Shirt,25.53,1,25.53,Guangzhou Store,
2023-12-14,19:34,Smartphone,929.21,2,1858.42,New York Store,
2023-05-11,10:47,Snack Box,8.52,9,76.68,New York Store,
2023-05-19,14:19,Snack Box,9.13,4,36.52,Chicago Store,
2023-06-17,09:48,Smartphone,830.57,2,1661.14,Beijing Store,
2023-09-19,20:24,Winter Jacket,133.38,5,666.9,Guangzhou Store,
2023-03-11,18:36,Yoga Mat,19.58,5,97.9,Los Angeles Store,
2023-09-17,15:10,T-Shirt,27.71,8,221.68,New York Store,
2023-06-30,13:24,T-Shirt,14.76,2,29.52,Manchester Store,Summer Sale
2023-05-01,17:32,Smartphone,901.3,3,2703.9,Berlin Store,
2023-07-18,16:34,Skincare Set,41.96,5,209.8,Beijing Store,
2023-01-05,14:28,Organic Coffee,11.0,10,110.0,Chicago Store,
2023-02-16,12:08,Laptop,1598.98,9,14390.82,Beijing Store,
2023-01-17,08:29,Winter Jacket,84.54,5,422.7,Houston Store,
2023-01-05,16:26,Organic Coffee,14.83,9,133.47,Cape Town Store,
2023-04-09,08:30,T-Shirt,26.58,7,186.06,Tokyo Store,
2023-07-13,08:09,T-Shirt,21.2,10,212.0,Houston Store,
2023-09-22,10:14,Running Shoes,71.79,3,215.37,Manchester Store,
2023-03-01,20:08,Skincare Set,74.84,2,149.68,Phoenix Store,
2023-09-11,12:49,LEGO Set,61.22,7,428.54,Beijing Store,
2023-03-01,18:28,Yoga Mat,36.26,8,290.08,Los Angeles Store,
2023-11-25,18:33,Perfume,76.71,5,383.55,Melbourne Store,
2023-02-26,16:19,T-Shirt,26.77,9,240.93,Chicago Store,
2023-03-12,13:19,Blender,81.85,8,654.8,Sydney Store,
2023-07-05,13:46,Snack Box,8.42,7,58.94,Delhi Store,
2023-08-12,18:39,Perfume,63.08,8,504.64,Beijing Store,
2023-02-07,16:16,Snack Box,9.63,1,9.63,Tokyo Store,
2023-03-12,16:39,Running Shoes,119.25,8,954.0,Beijing Store,
2023-06-20,17:03,T-Shirt,13.21,6,79.26,Edinburgh Store,
2023-07-12,15:10,Bestseller Novel,12.17,9,109.53,Delhi Store,
2023-03-18,13:59,Headphones,285.3,1,285.3,Shanghai Store,
2023-07-03,20:31,Skincare Set,49.78,5,248.9,Shanghai Store,
2023-10-11,10:03,Yoga Mat,18.36,2,36.72,Shanghai Store,
2023-01-21,20:12,Smartphone,714.75,4,2859.0,Manchester Store,
2023-10-16,13:11,Blender,83.27,3,249.81,Houston Store,
2023-03-21,14:58,Skincare Set,49.12,3,147.36,Chicago Store,
2023-01-17,11:19,Yoga Mat,24.76,7,173.32,Osaka Store,
2023-08-22,11:43,Cookware Set,291.55,3,874.65,Chicago Store,
2023-09-13,15:33,LEGO Set,59.47,8,475.76,Los Angeles Store,
2023-04-30,19:44,Skincare Set,71.25,4,285.0,Houston Store,
2023-11-10,12:01,LEGO Set,56.08,5,280.4,New York Store,
2023-11-14,11:52,Skincare Set,63.9,4,255.6,Tokyo Store,
2023-10-11,08:38,Headphones,122.05,7,854.35,Shanghai Store,
2023-07-10,19:44,Bestseller Novel,19.37,3,58.11,Hamburg Store,
2023-07-11,15:20,Smartphone,893.43,8,7147.44,Edinburgh Store,
2023-05-05,14:32,Jeans,66.52,5,332.6,Houston Store,
2023-10-22,15:09,T-Shirt,23.82,3,71.46,New York Store,
2023-04-03,10:05,Perfume,77.62,6,465.72,Sao Paulo Store,
2023-03-15,19:20,Jeans,67.53,7,472.71,Los Angeles Store,
2023-07-13,13:38,T-Shirt,14.71,3,44.13,Mumbai Store,
2023-08-27,08:50,Jeans,45.45,10,454.5,Hamburg Store,
2023-04-13,09:55,Bestseller Novel,20.7,4,82.8,Berlin Store,
2023-06-07,18:38,Running Shoes,61.15,9,550.35,Phoenix Store,
2023-11-11,12:25,Snack Box,7.72,7,54.04,Beijing Store,
2023-11-02,10:20,Board Game,30.13,9,271.17,Beijing Store,
2023-04-22,14:53,Organic Coffee,14.79,9,133.11,Shanghai Store,
2023-01-27,10:57,Smartphone,601.2,6,3607.2,Tokyo Store,
2023-04-14,16:31,Snack Box,8.11,6,48.66,Shanghai Store,
2023-03-10,18:35,Jeans,43.61,5,218.05,Osaka Store,
2023-05-06,08:56,Running Shoes,85.79,2,171.58,Tokyo Store,
2023-06-23,13:32,Winter Jacket,92.92,4,371.68,Hamburg Store,
2023-08-25,14:29,Smartphone,665.71,2,1331.42,Guangzhou Store,Back to School
2023-07-30,15:58,Smartphone,975.29,8,7802.32,Guangzhou Store,
2023-03-27,15:26,T-Shirt,21.85,8,174.8,Chicago Store,
2023-08-01,19:37,Board Game,41.31,8,330.48,Beijing Store,
2023-10-30,15:20,Perfume,98.53,6,591.18,Delhi Store,
2023-08-07,13:24,Cookware Set,241.24,7,1688.68,Osaka Store,
2023-07-31,08:14,T-Shirt,16.64,3,49.92,Beijing Store,
2023-03-14,11:39,Skincare Set,31.71,4,126.84,New York Store,
2023-04-20,19:05,Perfume,148.25,9,1334.25,Los Angeles Store,
2023-06-26,08:41,Winter Jacket,149.49,4,597.96,Los Angeles Store,
2023-08-22,18:54,LEGO Set,36.91,1,36.91,Guangzhou Store,
2023-01-14,16:43,Snack Box,5.15,1,5.15,Phoenix Store,
2023-01-17,16:40,Snack Box,8.98,6,53.88,Osaka Store,
2023-12-12,08:27,Organic Coffee,9.42,1,9.42,Guangzhou Store,
2023-08-05,17:05,Skincare Set,53.54,5,267.7,Hamburg Store,
2023-07-06,09:49,Jeans,41.25,9,371.25,Shanghai Store,
2023-12-13,14:38,Skincare Set,40.2,8,321.6,Beijing Store,
2023-01-04,15:36,Cookbook,18.57,3,55.71,Tokyo Store,
2023-05-30,19:38,T-Shirt,16.1,3,48.3,Delhi Store,
2023-12-23,09:50,Running Shoes,97.85,1,97.85,Munich Store,
2023-02-11,17:33,Board Game,46.34,6,278.04,New York Store,
2023-12-23,10:01,Blender,53.04,9,477.36,Phoenix Store,
2023-08-05,15:30,Laptop,1737.74,1,1737.74,Chicago Store,
2023-03-17,20:23,Headphones,187.82,6,1126.92,London Store,
2023-03-04,11:32,Organic Coffee,11.69,8,93.52,Johannesburg Store,
2023-11-10,17:18,Smartphone,936.73,3,2810.19,New York Store,
2023-03-13,13:59,LEGO Set,40.25,8,322.0,New York Store,
2023-06-30,19:14,Headphones,271.81,2,543.62,Guangzhou Store,
2023-04-30,10:23,Cookware Set,231.85,2,463.7,Houston Store,
2023-10-26,15:28,Skincare Set,53.25,6,319.5,Chicago Store,
2023-10-29,15:31,Jeans,71.14,3,213.42,Hamburg Store,
2023-10-21,11:54,Winter Jacket,111.29,4,445.16,Tokyo Store,
2023-09-19,12:29,Smartphone,689.14,5,3445.7,Shanghai Store,
2023-02-04,17:07,Perfume,149.13,4,596.52,Houston Store,
2023-09-09,08:22,Jeans,50.19,10,501.9,Shanghai Store,
2023-05-31,08:59,T-Shirt,29.36,10,293.6,Delhi Store,
2023-02-02,08:54,LEGO Set,72.97,10,729.7,Delhi Store,
2023-06-12,18:26,Organic Coffee,11.77,8,94.16,Houston Store,
2023-07-06,08:50,Organic Coffee,10.65,8,85.2,New York Store,
2023-04-18,08:36,LEGO Set,88.21,1,88.21,Houston Store,
2023-01-05,11:33,Laptop,887.92,1,887.92,Shanghai Store,
2023-09-06,15:11,Jeans,61.89,10,618.9,Chicago Store,
2023-12-05,12:31,Perfume,141.83,2,283.66,Los Angeles Store,
2023-05-08,11:55,Headphones,285.65,9,2570.85,New York Store,
2023-12-25,20:39,Jeans,44.55,6,267.3,London Store,
2023-08-25,19:29,LEGO Set,52.17,2,104.34,Melbourne Store,
2023-08-25,12:14,Snack Box,9.38,2,18.76,Shanghai Store,
2023-12-06,09:44,Board Game,44.68,9,402.12,Houston Store,
2023-06-13,15:03,T-Shirt,23.18,10,231.8,Hamburg Store,
2023-03-28,10:39,Smartphone,795.37,3,2386.11,Guangzhou Store,
2023-07-26,13:31,Skincare Set,58.23,9,524.07,Berlin Store,
2023-06-23,11:43,T-Shirt,18.9,6,113.4,Guangzhou Store,
2023-12-10,08:43,Laptop,1063.39,4,4253.56,Sao Paulo Store,
2023-06-16,11:52,Bestseller Novel,16.39,10,163.9,Shanghai Store,
2023-05-01,19:01,Perfume,58.16,4,232.64,New York Store,
2023-05-31,19:20,Smartphone,727.12,7,5089.84,New York Store,
2023-12-27,15:03,Board Game,28.51,5,142.55,Houston Store,Holiday Special
2023-10-11,10:34,Cookbook,18.2,5,91.0,Beijing Store,
2023-03-03,19:58,LEGO Set,73.27,6,439.62,Houston Store,
2023-11-17,14:54,Headphones,122.88,3,368.64,Guangzhou Store,
2023-07-18,16:06,T-Shirt,23.01,4,92.04,Guangzhou Store,
2023-03-21,08:08,Laptop,1531.23,5,7656.15,Hamburg Store,
2023-03-23,17:04,Snack Box,7.79,8,62.32,Houston Store,
2023-08-25,16:03,Laptop,1168.23,9,10514.07,Los Angeles Store,
2023-10-25,17:25,LEGO Set,44.32,6,265.92,Los Angeles Store,
2023-05-05,10:11,Perfume,77.45,1,77.45,Berlin Store,
2023-10-16,10:11,Headphones,207.48,1,207.48,Los Angeles Store,
2023-12-17,11:18,Headphones,100.43,1,100.43,Guangzhou Store,
2023-03-07,13:05,Running Shoes,102.17,9,919.53,Guangzhou Store,
2023-12-27,10:17,Jeans,58.88,9,529.92,Guangzhou Store,
2023-12-11,20:30,Cookware Set,284.48,4,1137.92,Los Angeles Store,
2023-09-16,09:01,Laptop,1832.24,5,9161.2,Houston Store,
2023-12-22,19:57,Yoga Mat,34.15,10,341.5,Mumbai Store,
2023-09-24,11:43,Board Game,44.74,1,44.74,Chicago Store,
2023-03-29,14:08,Winter Jacket,116.57,1,116.57,Munich Store,
2023-05-28,18:00,Organic Coffee,14.55,8,116.4,Houston Store,
2023-01-23,13:12,Skincare Set,59.02,10,590.2,Chicago Store,
2023-03-29,17:12,Organic Coffee,12.58,1,12.58,Los Angeles Store,
2023-05-16,08:50,Jeans,65.96,7,461.72,Houston Store,
2023-10-24,12:58,Skincare Set,52.06,1,52.06,Shanghai Store,
2023-07-06,18:34,Blender,42.45,10,424.5,Berlin Store,
2023-04-26,13:57,Perfume,132.81,1,132.81,Munich Store,
2023-06-30,08:03,Winter Jacket,145.6,1,145.6,Shanghai Store,
2023-12-08,11:30,Skincare Set,42.4,1,42.4,Guangzhou Store,
2023-09-07,20:37,Perfume,127.27,10,1272.7,Phoenix Store,
2023-07-07,17:24,LEGO Set,55.03,3,165.09,Los Angeles Store,
2023-11-03,11:00,Cookbook,31.67,6,190.02,Los Angeles Store,
2023-09-23,14:24,Snack Box,6.99,7,48.93,New York Store,
2023-10-31,15:46,Bestseller Novel,19.48,10,194.8,Shanghai Store,
2023-01-29,20:20,Snack Box,5.58,7,39.06,Phoenix Store,
2023-05-21,15:53,Skincare Set,51.99,7,363.93,Shanghai Store,
2023-07-27,15:37,Organic Coffee,10.58,10,105.8,Sydney Store,
2023-05-10,19:57,Snack Box,5.82,8,46.56,Chicago Store,
2023-02-12,10:09,T-Shirt,25.33,10,253.3,Guangzhou Store,
2023-05-04,09:10,LEGO Set,81.73,7,572.11,Beijing Store,
2023-12-19,16:48,Laptop,1503.93,2,3007.86,Mumbai Store,Holiday Special
2023-12-14,14:24,Perfume,90.8,1,90.8,Chicago Store,
2023-10-11,10:58,Snack Box,9.6,2,19.2,Phoenix Store,
2023-08-18,14:47,Yoga Mat,15.28,3,45.84,New York Store,
2023-12-30,10:15,Organic Coffee,9.8,10,98.0,New York Store,Holiday Special
2023-04-01,14:22,Blender,47.53,10,475.3,Rio de Janeiro Store,
2023-03-23,10:42,Board Game,30.51,4,122.04,New York Store,
2023-12-01,11:59,Running Shoes,102.2,6,613.2,Guangzhou Store,
2023-09-03,08:14,T-Shirt,28.4,1,28.4,Chicago Store,
2023-11-11,16:46,Jeans,76.9,6,461.4,New York Store,
2023-05-15,18:49,Jeans,76.56,5,382.8,Munich Store,
2023-05-21,13:15,Organic Coffee,10.79,3,32.37,Chicago Store,
2023-10-25,19:49,Board Game,48.45,6,290.7,Houston Store,
2023-03-05,16:26,Snack Box,7.79,6,46.74,Tokyo Store,
2023-07-10,16:41,Bestseller Novel,10.02,3,30.06,Los Angeles Store,
2023-12-21,16:08,Laptop,1879.5,6,11277.0,Chicago Store,
2023-11-06,08:54,Laptop,1758.81,6,10552.86,Los Angeles Store,
2023-03-27,15:23,Cookbook,33.52,9,301.68,New York Store,
2023-12-11,18:09,Jeans,40.51,8,324.08,Los Angeles Store,
2023-08-08,13:06,Laptop,1457.51,7,10202.57,Berlin Store,
2023-07-27,20:54,Organic Coffee,14.17,1,14.17,Guangzhou Store,
2023-07-17,16:15,Cookware Set,276.77,2,553.54,Mumbai Store,
2023-10-29,09:19,LEGO Set,46.0,8,368.0,New York Store,
2023-11-08,09:34,Organic Coffee,12.3,9,110.7,Guangzhou Store,
2023-12-20,08:47,Snack Box,6.64,3,19.92,Houston Store,
2023-07-20,18:48,Snack Box,6.44,4,25.76,Chicago Store,
2023-01-26,09:07,Laptop,875.19,4,3500.76,Tokyo Store,
2023-09-15,17:52,Smartphone,992.57,7,6947.99,Melbourne Store,
2023-05-10,10:58,Jeans,57.09,7,399.63,Los Angeles Store,
2023-07-07,13:57,Cookbook,24.28,6,145.68,Shanghai Store,
2023-05-17,11:13,Blender,102.67,7,718.69,Tokyo Store,
2023-07-06,08:17,Organic Coffee,13.95,3,41.85,Phoenix Store,
2023-01-01,19:38,Yoga Mat,19.86,5,99.3,Guangzhou Store,
2023-02-16,09:45,Organic Coffee,14.64,8,117.12,Beijing Store,
2023-09-18,11:38,Snack Box,6.53,6,39.18,Houston Store,
2023-03-08,14:43,Cookware Set,215.08,3,645.24,London Store,
2023-06-19,19:55,Winter Jacket,125.62,10,1256.2,Tokyo Store,
2023-09-08,17:29,Skincare Set,55.56,7,388.92,Guangzhou Store,
2023-10-27,13:06,Organic Coffee,11.15,7,78.05,London Store,
2023-05-20,14:07,Organic Coffee,11.76,10,117.6,Guangzhou Store,
2023-01-07,15:52,T-Shirt,23.26,10,232.6,Tokyo Store,
2023-02-28,16:55,Cookbook,25.64,8,205.12,Shanghai Store,
2023-04-24,10:03,Snack Box,7.4,10,74.0,Sydney Store,
2023-06-24,18:07,Snack Box,5.1,7,35.7,Shanghai Store,
2023-12-08,11:03,Organic Coffee,8.22,10,82.2,Los Angeles Store,
2023-08-24,19:23,Running Shoes,113.0,9,1017.0,Chicago Store,
2023-04-21,19:24,LEGO Set,65.06,1,65.06,Osaka Store,
2023-04-05,11:15,Cookbook,30.01,4,120.04,Shanghai Store,
2023-07-08,10:56,Perfume,88.79,10,887.9,Los Angeles Store,
2023-03-01,11:57,Cookware Set,263.65,3,790.95,Shanghai Store,
2023-03-05,19:40,Headphones,213.32,8,1706.56,Osaka Store,
2023-09-09,09:43,Blender,75.7,7,529.9,New York Store,
2023-10-07,20:25,Cookbook,16.63,9,149.67,New York Store,
2023-02-13,20:47,Snack Box,8.55,5,42.75,Mumbai Store,
2023-09-19,15:46,Perfume,125.21,4,500.84,Shanghai Store,
2023-07-24,08:22,Snack Box,9.0,9,81.0,Houston Store,
2023-09-24,14:11,Jeans,42.66,7,298.62,Tokyo Store,
2023-06-03,20:31,Cookbook,30.36,1,30.36,Houston Store,
2023-07-25,20:23,Yoga Mat,27.26,2,54.52,Shanghai Store,
2023-11-18,17:21,Running Shoes,86.75,3,260.25,Chicago Store,
2023-02-10,08:40,Perfume,67.39,6,404.34,Hamburg Store,
2023-04-05,15:53,Headphones,269.05,9,2421.45,Guangzhou Store,
2023-01-12,14:08,Board Game,34.46,4,137.84,London Store,
2023-09-06,19:59,LEGO Set,51.59,9,464.31,Edinburgh Store,
2023-12-18,14:11,Laptop,1288.33,1,1288.33,Chicago Store,Holiday Special
2023-03-12,20:00,Laptop,1797.81,1,1797.81,Osaka Store,
2023-02-07,16:46,Bestseller Novel,22.7,3,68.1,Los Angeles Store,
2023-11-12,09:45,Headphones,86.99,1,86.99,Delhi Store,
2023-04-18,18:04,T-Shirt,24.39,6,146.34,Beijing Store,
2023-05-31,11:25,Headphones,227.78,8,1822.24,Chicago Store,
2023-06-27,14:12,T-Shirt,12.76,10,127.6,Hamburg Store,
2023-11-06,10:04,LEGO Set,30.2,5,151.0,Los Angeles Store,
2023-05-17,10:27,Snack Box,6.58,8,52.64,Shanghai Store,
2023-02-10,08:34,Laptop,1648.62,8,13188.96,Guangzhou Store,
2023-02-15,13:34,Jeans,44.47,7,311.29,Shanghai Store,
2023-07-09,11:37,Yoga Mat,25.7,6,154.2,Guangzhou Store,
2023-05-26,14:46,Running Shoes,69.55,2,139.1,Houston Store,
2023-09-09,10:48,Laptop,1271.34,7,8899.38,Rio de Janeiro Store,
2023-08-19,19:45,Board Game,22.2,2,44.4,Beijing Store,
2023-07-24,13:39,Jeans,72.36,5,361.8,Shanghai Store,
2023-02-25,12:40,Board Game,25.57,2,51.14,Guangzhou Store,
2023-04-09,17:38,Skincare Set,56.1,6,336.6,Berlin Store,
2023-12-25,13:17,Headphones,202.58,9,1823.22,Osaka Store,
2023-04-06,13:22,Smartphone,524.43,6,3146.58,Phoenix Store,
2023-11-27,11:13,Laptop,1785.83,2,3571.66,Munich Store,
2023-10-29,13:40,Board Game,29.88,5,149.4,Shanghai Store,
2023-04-30,11:08,Smartphone,614.23,8,4913.84,New York Store,
2023-12-25,16:06,Headphones,293.21,2,586.42,Berlin Store,
2023-03-26,08:46,Organic Coffee,8.48,1,8.48,Shanghai Store,
2023-11-24,09:50,Skincare Set,52.14,8,417.12,Chicago Store,
2023-12-31,15:17,LEGO Set,48.38,4,193.52,Phoenix Store,
2023-07-13,20:07,Winter Jacket,97.7,10,977.0,Delhi Store,
2023-07-18,12:06,T-Shirt,27.18,10,271.8,Guangzhou Store,
2023-12-16,09:18,Running Shoes,99.32,2,198.64,Shanghai Store,
2023-11-26,10:30,Board Game,28.54,5,142.7,Houston Store,
2023-07-14,17:22,Skincare Set,55.86,5,279.3,Osaka Store,
2023-05-28,13:43,Yoga Mat,31.6,6,189.6,Chicago Store,
2023-09-15,20:46,LEGO Set,99.7,7,697.9,Houston Store,
2023-01-25,09:53,Organic Coffee,14.78,3,44.34,Delhi Store,
